Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,65.85,66.72,65.55,66.57,66.57,1180600
2019-04-02,66.68,66.81,65.79,66.21,66.21,1019200
2019-04-03,66.84,67.75,66.68,67.64,67.64,1146300
2019-04-04,67.86,67.99,67.02,67.32,67.32,621400
2019-04-05,67.69,67.97,67.0,67.45,67.45,688700
2019-04-08,67.36,67.41,66.87,67.14,67.14,598500
2019-04-09,66.65,66.72,65.46,65.6,65.6,1002100
2019-04-10,65.59,65.71,65.13,65.6,65.6,905600
2019-04-11,65.91,66.51,65.84,66.49,66.49,1014000
2019-04-12,66.89,67.5,66.09,66.96,66.96,959900
