Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,104.86,105.18,103.83,104.67,104.67,700300
2019-04-02,104.43,105.25,103.85,105.01,105.01,624400
2019-04-03,105.21,105.4,102.78,103.0,103.0,1783800
2019-04-04,101.68,102.43,100.85,101.3,101.3,720200
2019-04-05,100.62,101.93,99.85,100.91,100.91,975500
2019-04-08,101.13,101.71,100.35,101.46,101.46,725200
2019-04-09,101.4,102.0,100.92,101.35,101.35,490500
2019-04-10,101.31,102.49,100.86,101.62,101.62,514500
2019-04-11,101.55,101.59,100.32,100.84,100.84,1143900
2019-04-12,101.5,102.57,101.31,102.28,102.28,590900
