Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,177.41,181.31,177.41,180.91,180.91,780000
2019-04-02,181.01,182.23,180.41,182.07,182.07,639300
2019-04-03,182.8,184.36,182.66,183.33,183.33,620100
2019-04-04,182.88,185.0,182.88,184.99,184.99,532600
2019-04-05,185.0,186.25,184.65,185.34,185.34,602300
2019-04-08,185.35,186.7,184.49,186.0,186.0,408200
2019-04-09,184.65,184.87,182.23,182.48,182.48,610900
2019-04-10,182.61,183.58,180.8,182.86,182.86,924900
2019-04-11,183.45,183.69,182.22,182.95,182.95,834900
2019-04-12,183.84,184.4,183.0,184.24,184.24,792600
