Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,43.35,44.24,43.2,44.13,44.13,5281300
2019-04-02,43.88,44.42,43.68,44.38,44.38,4147800
2019-04-03,44.89,44.95,44.42,44.63,44.63,5965500
2019-04-04,44.63,44.97,44.63,44.87,44.87,9045100
2019-04-05,44.95,44.99,44.41,44.55,44.55,6729100
2019-04-08,44.34,44.79,44.13,44.78,44.78,8416000
2019-04-09,44.3,44.63,44.08,44.45,44.45,6747900
2019-04-10,44.47,44.47,43.97,44.27,44.27,5796400
2019-04-11,44.48,44.74,44.05,44.26,44.26,6533500
2019-04-12,45.0,45.79,44.95,45.35,45.35,6815800
