Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,431.82,435.47,429.34,433.33,433.33,595300
2019-04-02,435.0,437.27,431.17,437.17,437.17,421200
2019-04-03,439.0,441.6,438.4,440.68,440.68,578300
2019-04-04,441.87,446.83,440.5,444.38,444.38,398200
2019-04-05,443.73,449.81,443.73,449.23,449.23,422900
2019-04-08,448.5,448.5,443.87,446.43,446.43,403000
2019-04-09,443.95,446.07,441.44,443.74,443.74,388200
2019-04-10,443.9,444.5,437.76,443.71,443.71,457600
2019-04-11,445.21,445.6,442.74,443.26,443.26,359300
2019-04-12,445.22,445.62,437.64,441.53,441.53,609100
