Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,43.98,44.99,43.72,44.76,44.76,9717800
2019-04-02,44.9,45.45,44.35,44.49,44.49,6899400
2019-04-03,44.79,44.83,43.39,43.59,43.59,7230600
2019-04-04,43.41,44.11,43.06,44.1,44.1,6670900
2019-04-05,44.41,45.54,44.26,45.0,45.0,9149600
2019-04-08,45.15,46.24,45.1,46.17,46.17,11421400
2019-04-09,45.86,46.04,45.22,45.58,45.58,7577500
2019-04-10,45.8,46.0,45.4,45.55,45.55,6148800
2019-04-11,45.55,45.91,44.91,45.31,45.31,5291400
2019-04-12,46.0,46.45,45.58,45.65,45.65,8667000
