Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,90.2,90.48,89.25,90.41,90.41,427000
2019-04-02,90.4,91.4,89.66,91.15,91.15,501300
2019-04-03,91.27,91.77,90.81,91.72,91.72,295800
2019-04-04,92.03,92.03,91.06,91.79,91.79,298700
2019-04-05,91.8,92.65,91.58,92.6,92.6,381200
2019-04-08,92.56,92.69,91.92,92.07,92.07,290900
2019-04-09,91.55,91.59,89.8,89.92,89.92,563000
2019-04-10,90.22,91.83,90.0,91.69,91.69,454500
2019-04-11,91.97,92.08,90.6,90.76,90.76,404000
2019-04-12,90.73,90.75,89.2,90.49,90.49,667300
