Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,51.68,51.68,50.98,51.41,51.41,5059100
2019-04-02,51.5,51.66,51.02,51.64,51.64,4050200
2019-04-03,51.6,51.67,51.19,51.5,51.5,4654600
2019-04-04,51.68,51.69,50.89,51.2,51.2,3881200
2019-04-05,51.29,51.71,51.1,51.65,51.65,3983000
2019-04-08,51.62,51.7,51.28,51.51,51.51,3675900
2019-04-09,51.5,51.98,51.42,51.95,51.95,3972500
2019-04-10,51.99,52.42,51.7,51.77,51.77,4464400
2019-04-11,51.89,52.23,51.74,52.12,52.12,4481300
2019-04-12,51.96,52.51,51.63,52.5,52.5,3819300
