Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,182.68,183.13,180.97,182.93,182.93,1578700
2019-04-02,182.8,183.48,179.96,183.29,183.29,1253800
2019-04-03,183.47,184.21,181.38,182.97,182.97,861200
2019-04-04,183.54,183.91,182.37,183.85,183.85,813600
2019-04-05,183.86,185.42,183.2,184.8,184.8,762300
2019-04-08,185.01,185.59,183.01,183.47,183.47,623800
2019-04-09,183.28,183.28,182.03,182.57,182.57,709500
2019-04-10,183.69,184.97,182.66,184.93,184.93,707500
2019-04-11,185.0,186.4,183.54,184.21,184.21,872400
2019-04-12,184.04,185.53,182.33,185.52,185.52,721000
