Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,212.02,213.62,211.33,212.9,212.9,1136000
2019-04-02,213.01,213.5,210.16,213.22,213.22,719900
2019-04-03,214.5,214.93,213.0,213.6,213.6,896400
2019-04-04,214.01,214.27,212.46,212.65,212.65,605200
2019-04-05,213.6,214.99,213.07,214.53,214.53,743500
2019-04-08,214.29,214.5,212.7,213.65,213.65,634300
2019-04-09,212.42,215.25,212.01,214.81,214.81,990100
2019-04-10,215.36,215.7,212.43,212.68,212.68,850200
2019-04-11,214.14,214.14,212.65,213.13,213.13,1403700
2019-04-12,214.7,214.93,213.22,214.93,214.93,793100
