Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,83.34,84.4,83.25,83.86,83.86,1278400
2019-04-02,83.94,84.54,83.75,84.16,84.16,697900
2019-04-03,85.12,86.72,84.77,85.36,85.36,1887700
2019-04-04,85.17,86.54,85.05,85.51,85.51,1312700
2019-04-05,85.74,86.97,85.73,86.8,86.8,1081300
2019-04-08,86.6,87.81,86.04,87.65,87.65,1356600
2019-04-09,87.16,87.39,86.47,87.07,87.07,1096500
2019-04-10,87.05,88.23,86.51,88.05,88.05,1009600
2019-04-11,88.23,89.71,87.71,88.24,88.24,1327700
2019-04-12,89.05,90.69,88.67,90.68,90.68,1532200
