Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,199.25,199.85,195.46,196.1,196.1,1625900
2019-04-02,196.0,196.42,194.83,195.17,195.17,919700
2019-04-03,196.27,196.88,194.09,194.84,194.84,1154700
2019-04-04,195.19,195.45,193.32,193.71,193.71,729200
2019-04-05,194.3,196.0,193.78,195.24,195.24,640100
2019-04-08,195.43,196.04,192.79,195.74,195.74,1162100
2019-04-09,195.07,196.69,194.51,195.97,195.97,701900
2019-04-10,195.65,197.83,194.83,196.14,196.14,774500
2019-04-11,196.26,196.26,194.7,195.33,195.33,667200
2019-04-12,196.22,196.37,192.52,192.67,192.67,1457700
