Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,59.96,60.66,59.84,60.37,60.37,1333300
2019-04-02,60.42,60.48,59.84,60.15,60.15,1106900
2019-04-03,60.1,60.4,59.37,59.84,59.84,1493000
2019-04-04,60.05,60.91,59.83,60.76,60.76,1349300
2019-04-05,60.76,61.0,60.14,60.63,60.63,1068800
2019-04-08,60.35,61.01,60.35,60.79,60.79,1171600
2019-04-09,60.28,60.51,59.23,59.55,59.55,1428600
2019-04-10,59.5,59.67,58.76,59.4,59.4,1680700
2019-04-11,59.82,60.72,59.73,60.07,60.07,1464000
2019-04-12,60.25,60.94,59.88,59.98,59.98,729200
