Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,82.42,84.23,82.42,84.16,83.99,685300
2019-04-02,84.09,84.56,83.57,83.87,83.7,633400
2019-04-03,84.58,85.04,84.36,84.69,84.52,548700
2019-04-04,84.56,85.32,84.31,84.57,84.57,294300
2019-04-05,84.59,85.34,84.23,85.32,85.32,606700
2019-04-08,85.14,85.56,85.08,85.46,85.46,408300
2019-04-09,84.94,84.97,84.1,84.22,84.22,376000
2019-04-10,84.28,85.15,84.1,85.02,85.02,350500
2019-04-11,85.31,86.13,84.96,85.45,85.45,423800
2019-04-12,86.52,87.13,86.06,86.84,86.84,370500
