Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,32.7,33.51,32.67,33.39,33.39,3684000
2019-04-02,33.56,33.63,33.19,33.24,33.24,2810800
2019-04-03,33.51,33.95,33.41,33.89,33.89,3666700
2019-04-04,33.9,34.46,33.79,34.45,34.45,2308600
2019-04-05,34.56,34.73,34.13,34.25,34.25,3067000
2019-04-08,34.11,34.15,33.67,33.81,33.81,2725100
2019-04-09,33.51,33.56,33.0,33.56,33.56,3787900
2019-04-10,33.56,33.76,33.05,33.41,33.41,3682900
2019-04-11,33.6,33.81,32.82,32.9,32.9,4033300
2019-04-12,33.12,33.34,32.38,32.57,32.57,4185700
