Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,51.93,52.76,51.31,52.74,52.74,1809500
2019-04-02,52.66,52.94,52.13,52.56,52.56,1030800
2019-04-03,52.94,53.8,52.64,53.53,53.53,1282100
2019-04-04,53.53,53.77,52.99,53.7,53.7,1239300
2019-04-05,53.5,53.89,52.76,52.9,52.9,1318300
2019-04-08,52.9,52.9,51.79,52.21,52.21,1493000
2019-04-09,51.84,53.62,51.79,53.02,53.02,1520300
2019-04-10,53.09,53.57,52.66,53.37,53.37,873900
2019-04-11,53.46,54.14,53.35,53.88,53.88,746600
2019-04-12,54.15,55.04,52.42,52.59,52.59,1636000
