Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,137.56,138.6,137.37,138.02,138.02,1547400
2019-04-02,138.38,138.38,136.59,136.81,136.81,1050200
2019-04-03,137.51,137.51,135.52,136.6,136.6,1122000
2019-04-04,136.9,136.99,135.98,136.52,136.52,1115200
2019-04-05,136.53,137.09,136.11,136.4,136.4,1090400
2019-04-08,136.81,136.81,135.46,135.88,135.88,1006300
2019-04-09,135.49,135.49,134.37,135.19,135.19,1377700
2019-04-10,135.43,135.78,134.6,135.46,135.46,1250600
2019-04-11,135.73,136.43,135.09,136.28,136.28,955900
2019-04-12,136.98,137.85,136.72,137.72,137.72,1098300
