Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,98.16,99.24,96.61,97.49,97.49,1979000
2019-04-02,97.51,97.72,96.68,97.16,97.16,1084600
2019-04-03,97.56,99.14,97.04,98.08,98.08,1362400
2019-04-04,98.1,99.6,97.87,99.59,99.59,1123900
2019-04-05,99.7,101.47,99.64,101.13,101.13,1756000
2019-04-08,100.7,101.91,100.15,101.67,101.67,1244800
2019-04-09,101.38,101.95,100.74,100.93,100.93,935200
2019-04-10,101.2,101.35,100.03,101.17,101.17,975800
2019-04-11,101.95,103.01,101.4,102.95,102.95,1158300
2019-04-12,103.26,104.74,103.11,104.25,104.25,1286100
