Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,80.21,81.69,79.56,80.87,80.87,2723200
2019-04-02,83.19,85.1,82.34,82.77,82.77,3795100
2019-04-03,83.25,84.92,83.1,84.2,84.2,4047800
2019-04-04,84.51,85.27,83.54,84.64,84.64,1748400
2019-04-05,84.95,85.75,84.52,84.91,84.91,3018100
2019-04-08,84.6,85.12,83.8,84.58,84.58,1853000
2019-04-09,84.09,84.64,83.46,84.25,84.25,2016700
2019-04-10,85.33,85.55,83.61,84.52,84.52,3547300
2019-04-11,84.56,86.42,84.56,85.75,85.75,2570200
2019-04-12,86.19,86.5,85.3,85.49,85.49,4507500
