Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,134.89,135.59,134.51,134.75,134.75,815000
2019-04-02,134.41,134.84,133.01,133.75,133.75,464300
2019-04-03,134.63,135.13,133.59,134.25,134.25,548400
2019-04-04,134.52,134.94,133.64,133.97,133.97,416400
2019-04-05,134.38,135.02,134.33,134.72,134.72,626900
2019-04-08,134.95,135.0,132.73,133.0,133.0,553000
2019-04-09,132.32,133.98,132.19,133.85,133.85,617900
2019-04-10,133.96,135.19,133.85,134.49,134.49,815000
2019-04-11,135.14,135.18,132.29,132.42,132.42,425800
2019-04-12,133.31,134.27,132.22,132.8,132.8,817100
