Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,351.5,353.78,350.74,352.55,352.55,582300
2019-04-02,353.37,354.09,346.59,347.3,347.3,514300
2019-04-03,349.47,354.44,347.63,350.53,350.53,507700
2019-04-04,350.53,352.5,347.75,350.14,350.14,397200
2019-04-05,351.73,354.18,348.74,353.63,353.63,590400
2019-04-08,353.56,355.73,351.29,354.47,354.47,439700
2019-04-09,352.36,355.28,347.3,348.2,348.2,551700
2019-04-10,349.76,350.85,345.38,350.28,350.28,532300
2019-04-11,350.88,351.87,348.0,350.22,350.22,708800
2019-04-12,350.65,351.88,344.27,344.83,344.83,559500
