Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,34.02,34.81,34.02,34.75,34.75,2037200
2019-04-02,34.75,35.07,34.15,34.2,34.2,2103400
2019-04-03,34.6,34.93,34.4,34.62,34.62,2370100
2019-04-04,34.64,35.17,34.54,34.82,34.82,1567500
2019-04-05,34.95,35.28,34.76,34.94,34.94,2642300
2019-04-08,34.84,35.3,34.71,35.26,35.26,1453900
2019-04-09,35.01,35.1,34.58,34.71,34.71,1695800
2019-04-10,34.74,35.5,34.71,35.38,35.38,1573200
2019-04-11,35.6,36.71,35.5,36.32,36.32,3055800
2019-04-12,36.83,37.38,36.6,37.08,37.08,2896300
