Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,168.94,171.27,168.53,170.92,170.92,3372000
2019-04-02,170.67,171.29,169.13,169.78,169.78,2259900
2019-04-03,170.36,171.02,168.94,169.61,169.61,2669100
2019-04-04,169.28,170.17,168.31,168.79,168.79,2788600
2019-04-05,169.16,169.99,168.51,168.72,168.72,2214400
2019-04-08,168.42,168.81,167.38,168.69,168.69,2580800
2019-04-09,167.56,167.56,165.77,166.09,166.09,3025000
2019-04-10,166.86,167.29,164.97,166.35,166.35,3551500
2019-04-11,166.6,167.03,165.26,166.67,166.67,2378400
2019-04-12,167.79,169.64,167.0,169.5,169.5,3091700
