Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,113.19,114.78,112.9,114.43,114.43,3721700
2019-04-02,114.38,114.55,113.11,113.68,113.68,2456400
2019-04-03,114.5,115.03,113.88,114.35,114.35,2556500
2019-04-04,114.3,114.57,113.49,113.97,113.97,2889400
2019-04-05,114.16,114.91,114.04,114.33,114.33,2487300
2019-04-08,113.73,114.06,113.32,113.97,113.97,1854500
2019-04-09,113.07,113.27,112.41,112.91,112.91,2230000
2019-04-10,113.17,113.27,112.31,113.08,113.08,1767700
2019-04-11,113.2,113.73,112.88,113.49,113.49,2384800
2019-04-12,113.94,114.88,113.46,114.46,114.46,2853700
