Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,129.99,133.43,129.99,133.19,133.19,5300800
2019-04-02,133.07,133.37,131.55,131.9,131.9,2905500
2019-04-03,132.61,132.72,130.61,131.31,131.31,2840000
2019-04-04,131.5,133.27,130.85,132.7,132.7,2231700
2019-04-05,133.16,133.8,132.56,133.72,133.72,2500800
2019-04-08,132.33,133.63,131.19,133.56,133.56,2717700
2019-04-09,132.65,132.91,131.2,132.25,132.25,2089800
2019-04-10,132.29,132.33,130.26,131.66,131.66,2721600
2019-04-11,131.77,133.0,131.48,132.82,132.82,1741900
2019-04-12,133.82,135.32,133.65,135.3,135.3,2865500
