Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,87.63,87.68,86.75,87.33,87.33,1684200
2019-04-02,86.89,87.48,86.3,86.79,86.79,1714700
2019-04-03,87.3,87.5,86.86,87.45,87.45,1478100
2019-04-04,87.71,89.59,87.47,89.55,89.55,1379200
2019-04-05,89.63,89.95,88.87,89.17,89.17,1897700
2019-04-08,89.52,90.29,88.87,89.83,89.83,2049900
2019-04-09,89.37,89.87,88.47,88.69,88.69,1625400
2019-04-10,88.77,89.45,88.66,89.35,89.35,1389400
2019-04-11,89.64,89.93,88.89,89.3,89.3,1093800
2019-04-12,89.45,90.77,89.31,90.71,90.71,1721600
