Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,85.87,86.84,85.43,86.43,86.43,2919100
2019-04-02,86.24,86.24,84.42,84.45,84.45,2924700
2019-04-03,85.11,86.02,83.85,84.26,84.26,2983200
2019-04-04,84.26,84.63,83.04,84.35,84.35,3267700
2019-04-05,84.46,86.73,84.24,86.69,86.69,2966700
2019-04-08,86.89,87.34,86.03,86.2,86.2,2141200
2019-04-09,86.03,86.03,84.77,85.11,85.11,2419400
2019-04-10,85.81,88.93,85.58,88.43,88.43,5232400
2019-04-11,88.48,90.44,88.13,89.04,89.04,3682100
2019-04-12,89.78,90.13,87.89,88.41,88.41,4003200
