Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,133.67,134.42,132.72,134.24,134.24,775700
2019-04-02,134.22,135.03,133.57,134.91,134.91,636900
2019-04-03,135.43,136.99,135.04,136.31,136.31,1238700
2019-04-04,136.32,136.7,135.37,135.71,135.71,492800
2019-04-05,135.85,136.69,135.17,135.52,135.52,862500
2019-04-08,134.88,135.77,134.25,135.38,135.38,659600
2019-04-09,134.95,135.51,134.49,135.15,135.15,368900
2019-04-10,135.21,135.56,134.46,134.76,134.76,867600
2019-04-11,134.96,135.84,134.31,135.79,135.79,554200
2019-04-12,136.29,137.0,135.51,136.98,136.98,485200
