Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,183.04,186.12,182.11,185.96,185.96,630500
2019-04-02,185.94,187.32,185.01,186.88,186.88,449500
2019-04-03,187.63,189.55,187.21,188.09,188.09,437500
2019-04-04,188.66,188.66,184.32,186.13,186.13,313600
2019-04-05,186.57,189.6,186.43,189.24,189.24,625100
2019-04-08,189.01,189.87,187.27,189.77,189.77,550700
2019-04-09,188.93,190.25,188.33,189.02,189.02,706000
2019-04-10,189.07,190.29,188.14,188.97,188.97,1035200
2019-04-11,189.58,190.48,188.17,189.53,189.53,1070700
2019-04-12,189.94,190.5,188.97,189.6,189.6,417900
