Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,63.57,63.67,62.36,63.26,63.26,2257600
2019-04-02,63.3,63.65,62.44,63.61,63.61,2026500
2019-04-03,63.47,63.59,62.67,62.81,62.81,2196500
2019-04-04,62.93,62.93,61.82,62.4,62.4,1669000
2019-04-05,62.32,63.28,62.06,63.18,63.18,1378500
2019-04-08,63.25,63.49,62.19,62.21,62.21,1112800
2019-04-09,62.27,62.33,61.95,62.11,62.11,1131600
2019-04-10,62.44,62.93,62.21,62.6,62.6,1329200
2019-04-11,62.62,62.83,61.7,61.89,61.89,1576500
2019-04-12,61.76,62.04,61.05,62.03,62.03,1388000
