Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,63.55,64.11,63.14,63.49,63.49,6328600
2019-04-02,55.84,56.44,55.0,55.36,55.36,36877800
2019-04-03,55.54,55.7,54.48,54.84,54.84,17901900
2019-04-04,54.81,55.0,53.85,54.15,54.15,14150500
2019-04-05,54.36,55.22,54.3,54.69,54.69,10509500
2019-04-08,54.72,55.4,54.5,55.06,55.06,7121000
2019-04-09,54.78,55.03,54.36,54.5,54.5,8987700
2019-04-10,54.51,54.73,54.36,54.51,54.51,5483200
2019-04-11,54.59,54.8,53.32,53.44,53.44,8194100
2019-04-12,53.78,54.0,53.4,53.45,53.45,7298800
