Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,271.71,274.09,269.06,273.64,273.64,1275200
2019-04-02,274.25,276.66,271.0,273.83,273.83,1337800
2019-04-03,274.71,276.63,273.06,276.17,276.17,1735200
2019-04-04,276.83,279.88,275.71,278.13,278.13,1131500
2019-04-05,278.7,284.4,277.33,283.22,283.22,1572100
2019-04-08,283.01,288.46,280.36,285.81,285.81,1326300
2019-04-09,284.18,289.0,283.43,286.57,286.57,1675000
2019-04-10,287.55,288.34,283.73,284.12,284.12,1476400
2019-04-11,285.56,286.26,275.47,277.5,277.5,1235000
2019-04-12,278.18,278.18,267.08,270.34,270.34,1410600
