Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,78.95,79.03,77.46,78.11,78.11,1944100
2019-04-02,78.34,78.37,77.71,78.25,78.25,1116500
2019-04-03,78.09,78.22,77.22,77.91,77.91,1681200
2019-04-04,77.92,78.04,76.57,77.47,77.47,1981000
2019-04-05,77.47,78.27,77.33,78.22,78.22,1829400
2019-04-08,77.55,77.86,77.0,77.15,77.15,1907300
2019-04-09,77.06,77.53,77.02,77.47,77.47,1632200
2019-04-10,77.76,78.11,76.79,76.94,76.94,1505700
2019-04-11,77.08,77.5,76.91,77.39,77.39,1259200
2019-04-12,77.16,77.86,76.53,77.82,77.82,1185800
