Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,77.67,77.67,76.13,77.06,77.06,2241300
2019-04-02,77.24,77.7,76.25,77.64,77.64,2289600
2019-04-03,77.44,77.8,76.77,77.26,77.26,1472000
2019-04-04,77.21,77.21,76.13,76.56,76.56,1259500
2019-04-05,76.2,76.82,76.04,76.74,76.74,1707900
2019-04-08,76.94,77.13,75.72,75.75,75.75,1913600
2019-04-09,75.84,75.97,75.54,75.79,75.79,1594600
2019-04-10,76.2,76.61,75.95,76.52,76.52,1527300
2019-04-11,76.32,76.94,76.07,76.52,76.52,1741700
2019-04-12,75.82,76.47,75.28,76.47,76.47,1337400
