Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,104.58,104.8,103.01,104.02,104.02,1419100
2019-04-02,104.03,104.34,103.48,104.0,104.0,1150700
2019-04-03,104.07,104.51,103.41,104.02,104.02,1986600
2019-04-04,102.97,103.55,101.94,102.0,102.0,1670000
2019-04-05,102.15,102.41,101.94,102.2,102.2,2490100
2019-04-08,102.19,102.24,100.93,102.09,102.09,2834800
2019-04-09,101.96,102.13,101.34,101.64,101.64,1345800
2019-04-10,102.38,103.1,101.75,102.93,102.93,1882000
2019-04-11,100.16,100.81,97.55,100.57,100.57,3433500
2019-04-12,101.04,101.82,100.47,101.79,101.79,1232800
