Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,38.52,39.84,38.52,39.77,39.77,2569700
2019-04-02,39.77,39.92,38.94,38.95,38.95,1942900
2019-04-03,39.32,40.08,39.15,39.82,39.82,2377300
2019-04-04,39.69,39.73,38.59,39.18,39.18,2361200
2019-04-05,39.2,40.09,39.07,39.89,39.89,2311900
2019-04-08,39.93,40.1,39.04,39.56,39.56,1694200
2019-04-09,39.27,39.44,38.79,38.92,38.92,2159600
2019-04-10,38.93,39.19,38.5,38.99,38.99,1633000
2019-04-11,39.0,39.75,38.87,39.0,39.0,1707600
2019-04-12,39.39,39.93,39.34,39.54,39.54,1752800
