Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,70.56,71.08,69.8,70.06,70.06,1020800
2019-04-02,70.37,71.28,68.48,68.57,68.57,958300
2019-04-03,68.8,68.96,65.31,65.69,65.69,2125200
2019-04-04,65.69,67.05,64.57,66.48,66.48,2632000
2019-04-05,66.78,69.02,66.78,68.83,68.83,1593500
2019-04-08,69.42,70.29,68.49,69.32,69.32,1149000
2019-04-09,68.9,69.05,66.7,66.82,66.82,1096200
2019-04-10,67.29,68.37,66.91,67.97,67.97,1253900
2019-04-11,67.77,68.34,66.14,67.2,67.2,1052400
2019-04-12,70.48,71.34,69.13,70.83,70.83,2936000
