Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,79.79,81.02,79.72,80.56,80.56,1004000
2019-04-02,80.56,80.9,79.74,80.04,80.04,569300
2019-04-03,80.32,80.67,79.53,79.69,79.69,689200
2019-04-04,79.66,80.18,79.48,80.0,80.0,637700
2019-04-05,80.51,80.77,79.97,80.34,80.34,1123800
2019-04-08,80.13,81.33,79.75,81.33,81.33,1148100
2019-04-09,80.58,80.64,79.4,79.57,79.57,730200
2019-04-10,79.72,79.91,79.1,79.37,79.37,833500
2019-04-11,79.64,80.95,79.34,80.9,80.9,749100
2019-04-12,81.5,82.64,81.45,82.37,82.37,901100
