Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,100.43,100.76,99.82,100.58,100.58,1195200
2019-04-02,100.7,100.7,99.49,100.18,100.18,959600
2019-04-03,100.49,100.69,99.86,100.54,100.54,1060200
2019-04-04,100.58,100.77,99.94,100.45,100.45,860700
2019-04-05,100.32,100.58,99.85,99.96,99.96,1600100
2019-04-08,99.76,99.9,99.0,99.59,99.59,1340000
2019-04-09,99.14,99.52,98.99,99.48,99.48,993000
2019-04-10,99.89,100.46,99.52,100.04,100.04,1187700
2019-04-11,99.81,100.81,99.73,100.77,100.77,1169800
2019-04-12,101.0,101.6,100.9,101.4,101.4,1193100
