Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,128.45,128.51,127.25,127.76,127.76,799300
2019-04-02,127.85,127.85,126.8,127.5,127.5,891600
2019-04-03,128.11,128.73,126.28,126.48,126.48,1897400
2019-04-04,126.57,127.28,125.87,126.56,126.56,817000
2019-04-05,126.69,127.54,126.38,127.21,127.21,794300
2019-04-08,128.92,128.93,127.01,128.76,128.76,1260500
2019-04-09,128.32,129.71,128.1,128.66,128.66,1183800
2019-04-10,128.63,129.67,128.61,128.84,128.84,896800
2019-04-11,128.99,129.01,127.69,128.54,128.54,878900
2019-04-12,128.88,129.18,127.75,127.92,127.92,999800
