Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,45.71,46.84,45.71,46.72,46.72,2747100
2019-04-02,46.49,47.27,46.43,46.93,46.93,2357800
2019-04-03,47.55,47.93,47.03,47.18,47.18,2755300
2019-04-04,46.25,47.78,46.25,47.68,47.68,2259600
2019-04-05,47.71,47.9,47.27,47.57,47.57,1972500
2019-04-08,47.41,48.04,47.32,47.62,47.62,1499200
2019-04-09,47.45,47.57,46.77,46.9,46.9,1572900
2019-04-10,46.98,47.2,46.42,47.14,47.14,1263100
2019-04-11,47.43,47.92,47.14,47.5,47.5,1481000
2019-04-12,48.2,48.9,47.65,48.42,48.42,2264400
