Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,102.41,102.47,101.29,101.54,101.37,2659700
2019-04-02,101.74,102.38,101.57,102.04,101.87,1737900
2019-04-03,102.33,102.67,101.58,102.12,101.95,1769100
2019-04-04,102.19,102.4,100.64,101.98,101.81,2475500
2019-04-05,102.51,103.33,101.68,102.12,101.95,1865700
2019-04-08,102.23,102.5,101.7,102.23,102.06,1909500
2019-04-09,101.59,101.95,101.19,101.46,101.29,1657100
2019-04-10,101.75,101.98,101.22,101.33,101.16,1566700
2019-04-11,101.65,101.74,100.75,101.06,100.89,1062700
2019-04-12,101.56,101.93,100.92,101.67,101.5,1829000
